Frame,FrameTime_ms,Cubes
1,1.1498,20
2,0.0401,20
3,1005.53,20
4,915.205,20
5,835.645,20
6,842.204,20
7,844.231,20
8,845.379,20
9,833.143,20
10,840.582,20
11,838.576,20
12,837.603,20
13,843.295,20
14,837.134,20
15,834.345,20
16,840.36,20
17,840.427,20
18,839.089,20
19,836.504,20
20,845.347,20
21,844.524,20
22,841.681,20
23,845.857,20
24,842.897,20
25,840.567,20
26,846.007,20
27,840.937,20
28,849.698,20
29,844.754,20
30,840.212,20
31,843.394,20
32,845.055,20
33,840.29,20
34,839.238,20
35,840.145,20
36,840.585,20
37,843.128,20
38,845.729,20
39,841.158,20
40,839.473,20
41,840.747,20
42,838.78,20
43,841.45,20
44,847.766,20
45,840.432,20
46,838.973,20
47,840.604,20
48,837.62,20
49,839.788,20
50,845.609,20
51,839.468,20
52,838.222,20
53,840.881,20
54,839.535,20
55,843.847,20
